,title,description,return,sentiment
3/20/2020 0:26,Apple Is Back In The Buying Zone,Apple currently trading slightly below fair value.Fundamentals remain intact.Leverage COVID-19 fears to your advantage.Don’t be an Apple bear.,-3.79,1
3/20/2020 2:51,Stock futures jump as tumultuous week comes to an end - Fox Business,Central banks have taken measures to buffer the global economy from the coronavirus pandemic,-3.79,1
3/20/2020 3:13,Oncopeptides Provides Update Regarding COVID-19 Impact on the Melflufen Clinical Program,"Oncopeptides AB (Nasdaq Stockholm: ONCO) announced today measures the company is taking in response to the global spread of the novel coronavirus (COVID-19) pandemic. Most importantly, the pivotal phase 2 HORIZON study will not be affected and FDA submission …",-3.79,1
3/20/2020 3:24,"US stock futures gain, dollar snaps eight-day rally",Asian stocks and US futures gained and the dollar halted an eight-day rally as investors took stock of an unprecedented rush of global stimulus measures.,-3.79,1
3/20/2020 3:49,Immunovia Publishes the Annual Report for the Financial Year 2019,Immunovia has today published the annual report for 2019. It is available on Immunovia's website.,-3.79,0
3/20/2020 3:54,Coor Extends IFM Agreement With Vasakronan,"Coor's contract with Vasakronan generates annual sales of some SEK 200 M. The agreement which is now being extended is worth some SEK 120 M annually and runs until 2023. In addition, Coor also delivers conference and restaurant services in Vasakronan's premis…",-3.79,1
3/20/2020 5:27,Trip.com Group expands scope of 1 million surgical mask donation initiative,"Trip.com Group, a worldwide leading online travel services provider, today announced a global initiative that will see the donation of 1 million surgical masks to support the fight against the COVID-19 epidemic.",-3.79,1
3/20/2020 5:38,Microsoft Teams Adds 12M Customers In A Week As Coronavirus Forces Remote Work Boom - Yahoo Finance,Microsoft Teams Adds 12M Customers In A Week As Coronavirus Forces Remote Work Boom Yahoo Finance Microsoft Teams adds 12 MILLION new users in a week due to the coronavirus crisis Daily Mail ProBeat: The rise and inevitable fall of Microsoft Teams and Slack V…,-3.79,1
3/20/2020 5:40,Dow Futures Higher As Investors Eye $1 Trillion Coronavirus Relief Bill Following Historic Week on Wall Street - TheStreet,Dow Futures Higher As Investors Eye $1 Trillion Coronavirus Relief Bill Following Historic Week on Wall Street TheStreet Stock futures jump as tumultuous week comes to an end Fox Business Wall Street swings up and down as volatility retains grip amid coronavi…,-3.79,1
3/20/2020 6:00,Futures buoyed by stimulus hopes,"U.S. stock index futures firmed 4% on Friday, at the end of another torrid week for financial markets that have been battered by growing evidence of the economic damage from the coronavirus pandemic.",-3.79,1
3/20/2020 6:00,Wall Street falls as New York joins California with coronavirus restrictions,"The S&P 500 and the Dow Jones Industrial Average were down more than 2% on Friday, extending the recent rout, as New York state ordered all non-essential workers to stay home to try to contain the spread of the coronavirus. The market attempted earlier in the…",-3.79,-1
3/20/2020 6:00,Wall Street slips as New York toughens up for coronavirus battle,"The three main indexes made a short-lived attempt to build on Thursday's gains as global policymakers turned on all the taps to prop up financial markets reeling under four weeks of heavy selling that ended Wall Street's record 11-year bull run. ""These are re…",-3.79,-1
3/20/2020 6:45,"Urban One, Inc. Reports Fourth Quarter Results","Urban One, Inc. (NASDAQ: UONEK and UONE) today reported its results for the quarter ended December 31, 2019. Net revenue was approximately $105.9 million, a decrease of 6.8% from the same period in 2018. Broadcast and digital operating income1 was approximate…",-3.79,-1
3/20/2020 7:00,CLPS Incorporation's Growth Strategies Unaffected by COVID-19; Remains Prepared for Growing Demand for Its Services,"CLPS Incorporation (Nasdaq: CLPS) (""CLPS"" or ""the Company""), today announced that its growth strategies remain unaffected by the global outbreak of the coronavirus disease (COVID-19) since January 2020. In addition, as part of the effort to combat the COVID-1…",-3.79,1
3/20/2020 7:30,Moleculin Announces Patent Filing to Cover New Coronavirus Drug Candidate,"Moleculin Biotech, Inc., (Nasdaq: MBRX) (""Moleculin"" or the ""Company""), a clinical stage pharmaceutical company with a broad portfolio of drug candidates targeting highly resistant tumors, today announced that a new patent application has been filed covering …",-3.79,1
3/20/2020 7:31,"The daily business briefing: March 20, 2020","1. Senate Intelligence Committee Chair Richard Burr (R-N.C.) sold up to $1.56 million in stocks in February after receiving a briefing on the expected severity of the coronavirus outbreak. During that period, Burr was assuring the public that the Trump admini…",-3.79,0
3/20/2020 7:55,Sabre Announces Over $200 Million in Cost Saving Actions and Other Measures to Strengthen Financial Position in Response to COVID-19,"Sabre Corporation (NASDAQ: SABR), the leading software and technology company that powers the global travel industry, announced today that it is taking significant measures to strengthen its financial position in response to the current industry conditions. T…",-3.79,-1
3/20/2020 8:00,RiceBran Technologies to Host 2019 Year End Financial Results Conference Call on March 24th at 4:30 PM EDT,"RiceBran Technologies (NASDAQ: RIBT) (the ""Company"" or ""RBT""), a global leader in the production and marketing of value-added products derived from rice bran and a producer of rice, rice co-product, and barley and oat products, today announced that Mr. Brent …",-3.79,0
3/20/2020 8:00,Lead Investigator Evaluates Next-Step for Soliton Pivotal Cellulite Clinical Data,"Soliton, Inc., (Nasdaq: SOLY) (""Soliton"" or the ""Company""), a medical device company with a novel and proprietary platform technology licensed from The University of Texas on behalf of the MD Anderson Cancer Center (""MD Anderson""), today announced that Dr. El…",-3.79,0
3/20/2020 8:18,'Uncharted territory for us all': Wealth managers explain how they're calming client freakouts as stocks tank — and in-person hand-holding isn't an option,"Business Insider spoke with more than a half-dozen industry insiders, including executives and wirehouse advisers, about recent client conversations and working remotely as the coronavirus spreads. Wealth advisers and the wider wealth management industry arou…",-3.79,-1
3/20/2020 8:19,Wall Street set for gains at the end of blistering week,"Boeing Co gained 10.2% in premarket trading after four days of battering in the face of a complete collapse in the aerospace sector as the coronavirus pandemic brings global travel to a halt. United Airlines Holdings, Delta Air Lines Inc and MGM Resorts rose …",-3.79,1
3/20/2020 8:27,Veoneer Provides Update to First Quarter 2020 and Current Market Situation,"Given the rapid changes in the market caused by the effects of the coronavirus outbreak, Veoneer Inc. (NYSE: VNE and SSE: VNE SDB), updates indications of its first quarter 2020, current business situation and short term response actions.",-3.79,0
3/20/2020 8:45,MySize Issues Stockholder Update for 2019,"My Size, Inc. (the ""Company"" or ""My Size"") (NASDAQ: MYSZ) (TASE: MYSZ), the developer and creator of smartphone measurement solutions, today provided its stockholders with an update on the full year ended December 31, 2019 and expected upcoming milestones for…",-3.79,0
3/20/2020 8:46,Futures on US financial markets point to opening bump,"U.S. financial markets were set to open higher on Friday, possibly on news of government actions taken to help quell investors' ongoing anxieties over the coronavirus crisis. Futures on the S&P 500 were similarly up, indicating an opening rise of 1%. Unpreced…",-3.79,1
3/20/2020 8:47,10 things you need to know before the opening bell,"Here's what you need to know before the markets open. 1. 'Central banks are on their A game': Stocks, oil, and bitcoin rally as stimulus efforts temper coronavirus fears. ""We need to see a further decline in volatility and price stabilization before crying vi…",-3.79,-1
3/20/2020 8:57,Futures on US financial markets point to opening bump,Friday's opening rise comes after weeks of unprecedented market volatility.,-3.79,1
3/20/2020 9:00,RoboKiller Identifies New Coronavirus Phone Scams,"RoboKiller, the mobile app that eliminates spam calls and texts, announced today it has identified new potentially harmful phone call scams and text message scams related to the Coronavirus pandemic and is advising consumers how they can protect themselves.",-3.79,-1
3/20/2020 9:15,Lincoln Educational Services Corporation to Present at the Spring Investor Summit,"Lincoln Educational Services Corporation (Nasdaq: LINC) today announced that Scott Shaw, the Company's CEO and President, will be presenting 'virtually' at the Spring Investor Summit on Wednesday, March 25th at 10:30am ET. Mr. Shaw will provide an overview of…",-3.79,-1
3/20/2020 9:22,U.S. finance industry says markets must stay open during epidemic,"Keeping U.S. markets open during the coronavirus epidemic is critical for maintaining investor confidence, exchanges and market industry bodies said in a joint statement on Friday. Signatories to the statement included the American Bankers Association, CBOE, …",-3.79,1
3/20/2020 9:25,Sorrento Plans Preclinical Testing Of 'COVIDTRAP' Protein To Treat New Coronavirus,"Sorrento Therapeutics Inc (NASDAQ: SRNE), which is being touted as a takeover target, announced Friday it's working on potential preventative treatment for SARS-CoV-2, the virus that causes COVID-19.The San Diego, California-based company, which is engaged in…",-3.79,1
3/20/2020 9:29,Ideanomics' MEG Announces May 1st Operational Opening of Qingdao EV Hub,"Ideanomics, (NASDAQ: IDEX) (""Ideanomics"" or the ""Company""), is pleased to announce that the Qingdao-MEG Sales Center, branded as Mobile Energy Group Center, is scheduled to start sales operations by May 1. The 1 Million square foot site has been renovated as …",-3.79,0
3/20/2020 9:36,US stocks open higher to end week of historic volatility,"US stock markets surged on Friday, continuing the gains from the previous session. The Dow Jones Industrial Average rose as much as 300 points in a week that has seen a historic collapse on Wall Street.",-3.79,1
3/20/2020 9:38,Washington Trust Announces Initiatives in Response to COVID-19,"Washington Trust today announced several initiatives to ensure the health, safety and well-being of its employees, customers and the community in response to the COVID-19 (Coronavirus) outbreak. In compliance with the Center for Disease Control and Prevention…",-3.79,1
3/20/2020 9:40,"Stock Market News for Mar 20, 2020",U.S. stock markets closed higher on Thursday buoyed by strong performance by large-cap tech stocks after sharp losses recorded in the previous day.,-3.79,1
3/20/2020 9:40,"Last Week I Got Slammed Telling You Not To Sell, Sell Now: Here's What To Do","Calm down. When I say sell, I don't mean sell everything like the prophets of doom did last week. Though I have a specific catalyst to watch for.This is the perfect time to reintroduce my Cash Management Discipline. It's not magic, difficult, or some genius p…",-3.79,-1
3/20/2020 10:00,AIkido Pharma Adds Artificial Intelligence Leader to Advisory Board,AIkido Pharma Incorporated (Nasdaq: AIKI) today announced the addition of Andreas Typaldos to the Company's Advisory Board.,-3.79,1
3/20/2020 10:00,Pega Launches Free App To Help Clients Track COVID-19 Employee Exposure and Mitigate Risks,"Pegasystems Inc. (NASDAQ: PEGA), the software company empowering digital transformation at the world's leading enterprises, today announced the launch of a free app to help its clients track the spread of COVID-19 among employees and maintain business continu…",-3.79,1
3/20/2020 10:11,"Dow Jones Today, Stocks Turn Mixed; Coronavirus Stimulus Plans In Motion As California, Pennsylvania Lock Down - Investor's Business Daily","Dow Jones Today, Stocks Turn Mixed; Coronavirus Stimulus Plans In Motion As California, Pennsylvania Lock Down Investor's Business Daily Global markets and US stock futures rally as central banks go all-in CNN Stocks rally as Congress crafts 3rd coronavirus s…",-3.79,-1
3/20/2020 10:46,"In Midst of Chaos, Nasdaq ETF Gets Biggest Inflow in Two Decades",(Bloomberg) -- Tech megacaps are luring equity investors back into the stock market at a pace not seen in almost two decades on speculation they have a cash bulwark strong enough to withstand the looming recession.An exchange-traded fund that tracks the Nasda…,-3.79,1
3/20/2020 10:55,Vuzix Blade Selected as the Smart Glasses Companion for X.Labs' New AI Screening and Temperature Detection System Feevr,"Vuzix® Corporation (NASDAQ: VUZI), (""Vuzix"" or, the ""Company""), a leading supplier of Smart Glasses and Augmented Reality (AR) technology and products, today announced that the Vuzix Blade ® Smart Glasses have been selected by X.Labs, developer of SWORD weapo…",-3.79,1
3/20/2020 11:13,Valeritas Receives Court Approval of Sale of Business to Zealand Pharma,"Valeritas Holdings, Inc. (OTCPK: VLRXQ) (""Valeritas"" or the ""Company""), a medical technology company and maker of the V-Go® Wearable Insulin Delivery device, today announced that the U.S. Bankruptcy Court for the District of Delaware (the ""Court"") approved th…",-3.79,
3/20/2020 11:15,"Dow Jones Gains 300 Points, As US Coronavirus Cases Approach 15,000; Stock Market Correction Continues - Investor's Business Daily","Dow Jones Gains 300 Points, As US Coronavirus Cases Approach 15,000; Stock Market Correction Continues Investor's Business Daily Global markets and US stock futures rally as central banks go all-in CNN Coronavirus latest: Stocks open higher on Wall Street at …",-3.79,
3/20/2020 11:20,Stocks To Buy: Coronavirus And Deliveries,"Coronavirus has accelerated a shift of consumer buying patterns to online orders.I analyze restaurant delivery strategies to identify those best positioned to take advantage of changes in buying patterns.Combined with an analysis of valuation metrics, I try t…",-3.79,
3/20/2020 11:41,IRRAS Publishes Annual Report for 2019,IRRAS's annual report 2019 has today been published on the company's website.,-3.79,
3/20/2020 11:54,OPKO Health's BioReference Laboratories and State of New Jersey Provide Testing for Coronavirus Disease 2019 (COVID-19),"BioReference Laboratories, Inc., an OPKO Health company (NASDAQ: OPK), today announced a collaboration with the State of New Jersey to provide coronavirus disease 2019 (COVID-19) testing across the State. BioReference will provide testing for the first NJ dri…",-3.79,
3/20/2020 12:00,"2U, Inc. to Host Virtual Investor Day on Tuesday, March 24, 2020","2U, Inc. (Nasdaq: TWOU) today announced that it will host its Investor Day on Tuesday, March 24, 2020 as a fully virtual event given the rapidly evolving situation regarding COVID-19. The original Investor Day schedule has been condensed, with the event now s…",-3.79,
3/20/2020 12:08,U.S. finance industry says markets must stay open during epidemic,"Keeping U.S. markets open during the coronavirus epidemic is critical for maintaining investor confidence, exchanges and market industry bodies said in a joint statement on Friday. Signatories to the statement included the American Bankers Association, CBOE, …",-3.79,
3/20/2020 12:12,Stock Market News: CrowdStrike Strikes Gold; Slack Attracts Home-Workers,Stocks stayed turbulent on Friday morning.,-3.79,
3/20/2020 12:30,Stocks decline as virus fears keep traders on edge - msnNOW,Stocks decline as virus fears keep traders on edge msnNOW Dow tumbles 900 points to end Wall Street's worst week since 2008 CNBC Global markets and US stock futures rally as central banks go all-in CNN Stocks rise as Wall Street winds up a turbulent week CBS …,-3.79,
3/20/2020 12:34,Nasdaq warns of market manipulation during coronavirus volatility,"Financial firms should be on the lookout for potential market manipulation as the spike in volatility and volumes driven by coronavirus concerns could embolden traders with bad intentions looking to ""hide amongst the noise,"" Nasdaq Inc said on Friday. The U.S…",-3.79,
3/20/2020 13:02,Adaptive Biotechnologies and Microsoft expand partnership to decode COVID-19 immune response and provide open data access,Adaptive Biotechnologies Corp. (Nasdaq: ADPT) and Microsoft Corp. (Nasdaq: MSFT) on Friday announced they will leverage their existing partnership mapping population-wide adaptive immune responses to diseases at scale to study COVID-19. Finding the relevant i…,-3.79,
3/20/2020 13:04,Gold Forecast – The Last Great Buying Opportunity of This Decade,The paradigm shift I spoke about last year is unfolding before our very eyes. Precious metals will emerge from this crisis as the premier asset class for investors.,-3.79,
3/20/2020 13:31,Dow Jones Goes Red; Stocks Fall As Coronavirus Sends New York Into Lockdown - Investor's Business Daily,"Dow Jones Goes Red; Stocks Fall As Coronavirus Sends New York Into Lockdown Investor's Business Daily Dow falls 200 points, heads for worst week since 2008 CNBC Global markets and US stock futures rally as central banks go all-in CNN US futures point to openi…",-3.79,
3/20/2020 13:46,"Coronavirus in New Jersey: What’s open, what’s closed? Restaurants, stores, banks, mail delivery, malls, UPS, - NJ.com","Coronavirus in New Jersey: What’s open, what’s closed? Restaurants, stores, banks, mail delivery, malls, UPS, NJ.com New Jersey Lawmakers Pass Coronavirus Relief Package Wall Street Journal New coronavirus drive-thru test sites open, drawing huge lines: 'Not …",-3.79,
3/20/2020 14:01,"COVID-19 Has Hit the Auto Industry Hard, But Could Hit EVs Even Harder","According to S&P Global, the coronavirus outbreak, which is wreaking havoc all over the globe and pretty much in any segment of the economy you can think of, has pushed the world's economy into a global recession.Initial figures suggest that the Chinese econo…",-3.79,
3/20/2020 14:03,Market Extra: A bearish ‘death cross’ has appeared in the Dow’s chart,"A bearish ‘death cross’ pattern has appeared in the Dow Jones Industrial Average’s chart for the first time in over a year, which is a warning of further losses in the near term.",-3.79,
3/20/2020 14:18,Shopify: Spotting Opportunity Amidst Chaos,Shopify stock has declined as investors fear the impacts of the coronavirus.I expect mass layoffs to reignite the entrepreneurial spirits of most people.I also expect GMV to increase as more people stay and work from home.,-3.79,
